group,variable,value
26-Mar-19,AGRO,0.03
26-Mar-19,CONSUMP,0.03
26-Mar-19,FINCIAL,0.33
26-Mar-19,INDUS,0.73
26-Mar-19,PROPCON,0.27
26-Mar-19,RESOURC,0.6
26-Mar-19,SERVICE,0.33
26-Mar-19,TECH,0.45
27-Mar-19,AGRO,0.68
27-Mar-19,CONSUMP,0.28
27-Mar-19,FINCIAL,0.08
27-Mar-19,INDUS,0.22
27-Mar-19,PROPCON,0.04
27-Mar-19,RESOURC,0.3
27-Mar-19,SERVICE,0.16
27-Mar-19,TECH,0.08
28-Mar-19,AGRO,0.62
28-Mar-19,CONSUMP,0.23
28-Mar-19,FINCIAL,0.41
28-Mar-19,INDUS,0.03
28-Mar-19,PROPCON,0.43
28-Mar-19,RESOURC,0.26
28-Mar-19,SERVICE,0.45
28-Mar-19,TECH,0.98
29-Mar-19,AGRO,0.41
29-Mar-19,CONSUMP,0.3
29-Mar-19,FINCIAL,0.07
29-Mar-19,INDUS,0.4
29-Mar-19,PROPCON,0.26
29-Mar-19,RESOURC,0.46
29-Mar-19,SERVICE,0.49
29-Mar-19,TECH,0.36
1-Apr-19,AGRO,0.06
1-Apr-19,CONSUMP,0.19
1-Apr-19,FINCIAL,0.12
1-Apr-19,INDUS,0.49
1-Apr-19,PROPCON,0.8
1-Apr-19,RESOURC,0.68
1-Apr-19,SERVICE,0.17
1-Apr-19,TECH,0.7
2-Apr-19,AGRO,0.78
2-Apr-19,CONSUMP,0.46
2-Apr-19,FINCIAL,0.56
2-Apr-19,INDUS,0.56
2-Apr-19,PROPCON,0.14
2-Apr-19,RESOURC,0.43
2-Apr-19,SERVICE,0.36
2-Apr-19,TECH,0.44
3-Apr-19,AGRO,0.58
3-Apr-19,CONSUMP,0.28
3-Apr-19,FINCIAL,0.02
3-Apr-19,INDUS,0.81
3-Apr-19,PROPCON,0.96
3-Apr-19,RESOURC,0.33
3-Apr-19,SERVICE,0.3
3-Apr-19,TECH,0.12
4-Apr-19,AGRO,0.41
4-Apr-19,CONSUMP,0.88
4-Apr-19,FINCIAL,0.07
4-Apr-19,INDUS,0.72
4-Apr-19,PROPCON,0.38
4-Apr-19,RESOURC,0.51
4-Apr-19,SERVICE,0.49
4-Apr-19,TECH,0.88
5-Apr-19,AGRO,0.08
5-Apr-19,CONSUMP,0.05
5-Apr-19,FINCIAL,0.26
5-Apr-19,INDUS,0.02
5-Apr-19,PROPCON,0.26
5-Apr-19,RESOURC,0.34
5-Apr-19,SERVICE,0.49
5-Apr-19,TECH, -
9-Apr-19,AGRO,0.43
9-Apr-19,CONSUMP,0.25
9-Apr-19,FINCIAL,0.53
9-Apr-19,INDUS,1.77
9-Apr-19,PROPCON,0.34
9-Apr-19,RESOURC,1.16
9-Apr-19,SERVICE,0.4
9-Apr-19,TECH,0.92
10-Apr-19,AGRO,1.16
10-Apr-19,CONSUMP,0.54
10-Apr-19,FINCIAL,0.44
10-Apr-19,INDUS,0.26
10-Apr-19,PROPCON,0.1
10-Apr-19,RESOURC,0.41
10-Apr-19,SERVICE,0.29
10-Apr-19,TECH,1.05
11-Apr-19,AGRO,0.53
11-Apr-19,CONSUMP,0.09
11-Apr-19,FINCIAL,0.19
11-Apr-19,INDUS,0.04
11-Apr-19,PROPCON,0.6
11-Apr-19,RESOURC,0.24
11-Apr-19,SERVICE, -
11-Apr-19,TECH,0.44
12-Apr-19,AGRO,0.15
12-Apr-19,CONSUMP,0.64
12-Apr-19,FINCIAL,0.2
12-Apr-19,INDUS,0.48
12-Apr-19,PROPCON,0.28
12-Apr-19,RESOURC,0.01
12-Apr-19,SERVICE,0.23
12-Apr-19,TECH,0.27
17-Apr-19,AGRO,0.9
17-Apr-19,CONSUMP,0.16
17-Apr-19,FINCIAL,0.67
17-Apr-19,INDUS,0.1
17-Apr-19,PROPCON,1.09
17-Apr-19,RESOURC,0.77
17-Apr-19,SERVICE,0.78
17-Apr-19,TECH,0.85
18-Apr-19,AGRO,0.79
18-Apr-19,CONSUMP,0.56
18-Apr-19,FINCIAL,0.12
18-Apr-19,INDUS,1
18-Apr-19,PROPCON,0.01
18-Apr-19,RESOURC,0.41
18-Apr-19,SERVICE,0.25
18-Apr-19,TECH,0.32
19-Apr-19,AGRO,0.36
19-Apr-19,CONSUMP,0.05
19-Apr-19,FINCIAL,0.1
19-Apr-19,INDUS,1.07
19-Apr-19,PROPCON,0.05
19-Apr-19,RESOURC,0.07
19-Apr-19,SERVICE,0.01
19-Apr-19,TECH,0.64
22-Apr-19,AGRO,0.07
22-Apr-19,CONSUMP,0.71
22-Apr-19,FINCIAL,0.03
22-Apr-19,INDUS,0.05
22-Apr-19,PROPCON,0.01
22-Apr-19,RESOURC,0.59
22-Apr-19,SERVICE,0.27
22-Apr-19,TECH,1.06
23-Apr-19,AGRO,0.03
23-Apr-19,CONSUMP,0.63
23-Apr-19,FINCIAL,0.76
23-Apr-19,INDUS,0.68
23-Apr-19,PROPCON,0.57
23-Apr-19,RESOURC,0.32
23-Apr-19,SERVICE,0.04
23-Apr-19,TECH,0.54
24-Apr-19,AGRO,0.06
24-Apr-19,CONSUMP,0.04
24-Apr-19,FINCIAL,0.38
24-Apr-19,INDUS,1.04
24-Apr-19,PROPCON,0.09
24-Apr-19,RESOURC, -
24-Apr-19,SERVICE,0.2
24-Apr-19,TECH,0.91
25-Apr-19,AGRO,0.77
25-Apr-19,CONSUMP,0.66
25-Apr-19,FINCIAL,0.1
25-Apr-19,INDUS,0.5
25-Apr-19,PROPCON,0.28
25-Apr-19,RESOURC,0.29
25-Apr-19,SERVICE,0.3
25-Apr-19,TECH,0.76
26-Apr-19,AGRO,0.23
26-Apr-19,CONSUMP,0.05
26-Apr-19,FINCIAL,0.37
26-Apr-19,INDUS,0.73
26-Apr-19,PROPCON,0.29
26-Apr-19,RESOURC,0.4
26-Apr-19,SERVICE,0.03
26-Apr-19,TECH,1.29
29-Apr-19,AGRO,0.18
29-Apr-19,CONSUMP,0.58
29-Apr-19,FINCIAL,0.36
29-Apr-19,INDUS,0.54
29-Apr-19,PROPCON,0.39
29-Apr-19,RESOURC,0.69
29-Apr-19,SERVICE,0.42
29-Apr-19,TECH,0.51
30-Apr-19,AGRO,0.88
30-Apr-19,CONSUMP,0.8
30-Apr-19,FINCIAL,0.31
30-Apr-19,INDUS,0.54
30-Apr-19,PROPCON,0.34
30-Apr-19,RESOURC,0.61
30-Apr-19,SERVICE,0.2
30-Apr-19,TECH,0.41
2-May-19,AGRO,1.18
2-May-19,CONSUMP,0.57
2-May-19,FINCIAL,0.43
2-May-19,INDUS,0.22
2-May-19,PROPCON,0.04
2-May-19,RESOURC,0.47
2-May-19,SERVICE,0.26
2-May-19,TECH,0.24
3-May-19,AGRO,0.6
3-May-19,CONSUMP,0.25
3-May-19,FINCIAL,0.04
3-May-19,INDUS,0.29
3-May-19,PROPCON,0.28
3-May-19,RESOURC,0.1
3-May-19,SERVICE,0.21
3-May-19,TECH,0.62
7-May-19,AGRO,0.17
7-May-19,CONSUMP,0.37
7-May-19,FINCIAL,0.2
7-May-19,INDUS,0.11
7-May-19,PROPCON,0.38
7-May-19,RESOURC,0.64
7-May-19,SERVICE,1
7-May-19,TECH,0.67
8-May-19,AGRO,1.34
8-May-19,CONSUMP,0.64
8-May-19,FINCIAL,1.08
8-May-19,INDUS,0.27
8-May-19,PROPCON,0.88
8-May-19,RESOURC,1.76
8-May-19,SERVICE,0.57
8-May-19,TECH,0.12
9-May-19,AGRO,1.01
9-May-19,CONSUMP,0.17
9-May-19,FINCIAL,0.36
9-May-19,INDUS,0.73
9-May-19,PROPCON,0.02
9-May-19,RESOURC,0.65
9-May-19,SERVICE,0.49
9-May-19,TECH,0.01
10-May-19,AGRO,0.34
10-May-19,CONSUMP,0.34
10-May-19,FINCIAL,0.26
10-May-19,INDUS,0.19
10-May-19,PROPCON,0.02
10-May-19,RESOURC,0.3
10-May-19,SERVICE,0.13
10-May-19,TECH,0.35
13-May-19,AGRO,0.1
13-May-19,CONSUMP,0.95
13-May-19,FINCIAL,0.49
13-May-19,INDUS,2.03
13-May-19,PROPCON,0.24
13-May-19,RESOURC,0.78
13-May-19,SERVICE,0.4
13-May-19,TECH,0.14
14-May-19,AGRO,0.61
14-May-19,CONSUMP,0.26
14-May-19,FINCIAL,0.09
14-May-19,INDUS,0.32
14-May-19,PROPCON,0.18
14-May-19,RESOURC,0.46
14-May-19,SERVICE,0.4
14-May-19,TECH,0.87
15-May-19,AGRO,1.34
15-May-19,CONSUMP,1.21
15-May-19,FINCIAL,0.79
15-May-19,INDUS,0.77
15-May-19,PROPCON,0.32
15-May-19,RESOURC,0.76
15-May-19,SERVICE,0.78
15-May-19,TECH,1.02
16-May-19,AGRO,0.19
16-May-19,CONSUMP,0.2
16-May-19,FINCIAL,0.46
16-May-19,INDUS,0.55
16-May-19,PROPCON,0.01
16-May-19,RESOURC,0.94
16-May-19,SERVICE,0.14
16-May-19,TECH,0.69
17-May-19,AGRO,0.32
17-May-19,CONSUMP,0.5
17-May-19,FINCIAL,0.2
17-May-19,INDUS,1.22
17-May-19,PROPCON,0.22
17-May-19,RESOURC,0.88
17-May-19,SERVICE,0.18
17-May-19,TECH,0.65
21-May-19,AGRO,0.35
21-May-19,CONSUMP,0.83
21-May-19,FINCIAL,0.6
21-May-19,INDUS,1.04
21-May-19,PROPCON,0.31
21-May-19,RESOURC,0.08
21-May-19,SERVICE,0.02
21-May-19,TECH,0.57
22-May-19,AGRO,1.06
22-May-19,CONSUMP,0.25
22-May-19,FINCIAL,1.36
22-May-19,INDUS,0.87
22-May-19,PROPCON,1.53
22-May-19,RESOURC,0.82
22-May-19,SERVICE,1.12
22-May-19,TECH,0.08
23-May-19,AGRO,0.97
23-May-19,CONSUMP,0.49
23-May-19,FINCIAL,0.66
23-May-19,INDUS,2.33
23-May-19,PROPCON,1.27
23-May-19,RESOURC,1.41
23-May-19,SERVICE,0.74
23-May-19,TECH,0.88
24-May-19,AGRO,1.48
24-May-19,CONSUMP,0.09
24-May-19,FINCIAL,0.49
24-May-19,INDUS,0.41
24-May-19,PROPCON,0.56
24-May-19,RESOURC,0.2
24-May-19,SERVICE,0.06
24-May-19,TECH,0.21
27-May-19,AGRO,0.74
27-May-19,CONSUMP,0.24
27-May-19,FINCIAL,0.5
27-May-19,INDUS,0.99
27-May-19,PROPCON,0.74
27-May-19,RESOURC,0.54
27-May-19,SERVICE,1.08
27-May-19,TECH,0.26
28-May-19,AGRO,0.1
28-May-19,CONSUMP,0.58
28-May-19,FINCIAL,0.42
28-May-19,INDUS,1.34
28-May-19,PROPCON,0.31
28-May-19,RESOURC,1.39
28-May-19,SERVICE,0.51
28-May-19,TECH,0.6
29-May-19,AGRO,0.52
29-May-19,CONSUMP,0.15
29-May-19,FINCIAL,0.54
29-May-19,INDUS,0.3
29-May-19,PROPCON,0.74
29-May-19,RESOURC,0.81
29-May-19,SERVICE,1.24
29-May-19,TECH,0.34
30-May-19,AGRO,0.28
30-May-19,CONSUMP,0.11
30-May-19,FINCIAL,0.05
30-May-19,INDUS,0.12
30-May-19,PROPCON,0.1
30-May-19,RESOURC,0.5
30-May-19,SERVICE,0.03
30-May-19,TECH,0.49
31-May-19,AGRO,1.14
31-May-19,CONSUMP,0.24
31-May-19,FINCIAL,0.62
31-May-19,INDUS,0.7
31-May-19,PROPCON,0.06
